m_res1,m_res2,dfit2
0,0.01903057098388672,8.135994048613648e-08
1e-06,0.019029820013455323,3.0134315182062114e-09
1.3185113849432237e-06,0.019029859561152974,-8.514510711071786e-08
1.7384722722248978e-06,0.019029165464390117,9.949072815595983e-09
2.292195483336643e-06,0.01902847644468801,4.7730808021284744e-08
3.022285841294793e-06,0.01902824056961766,-6.286995663656869e-08
3.9849182902998935e-06,0.019027037877281605,6.597191326215834e-08
5.254160133828896e-06,0.01902648944504992,-6.90149434996734e-08
6.927669954768211e-06,0.019025093702818928,5.731157735888725e-08
9.134211706490994e-06,0.019023814711557133,4.2238294025581684e-08
1.2043562127490046e-05,0.019022460743886162,1.7124431213322267e-09
1.5879573780366625e-05,0.019021064341432452,6.652149534339125e-08
2.0937398817459302e-05,0.01902053597037066,7.078636721918885e-08
2.760619871191688e-05,0.01902158288474398,-2.6700375851259163e-08
3.639908729666736e-05,0.01902574116820846,-8.489433114822066e-08
4.799261100219819e-05,0.019035293507365002,-6.742382260144231e-10
6.327880399954973e-05,0.019055600390734506,-5.723028930100513e-08
8.343382349899711e-05,0.019093016232189175,5.565884667220468e-08
0.00011000844617277105,0.01915868954224236,2.6854495190076194e-08
0.00014504738871871242,0.019268133773928414,-7.127501713829736e-08
0.00019124663338190764,0.019441661669724858,6.549882164419428e-08
0.00025216086344610777,0.019711455949610913,-6.103407709789293e-08
0.00033247696929080664,0.020121293211657048,2.4338170367954653e-08
0.00043837466924134713,0.020728886773079217,-4.347997656362138e-08
0.0005780019922654362,0.02157988856450623,4.227130798173364e-08
0.000762102207321842,0.02267276594353832,-1.4477134768757173e-08
0.0010048404368442096,0.023969745011193245,-8.285126057454862e-08
0.0013248935560304128,0.025475465733808343,-2.256875242257539e-09
0.0017468872374640102,0.027275847136437402,-1.6745285715103384e-08
0.002303290710808314,0.029489875778351524,-1.821459722153951e-10
0.0030369150250347324,0.03220555502654085,-5.804211287121631e-08
