ID,suffix,layout,f,c,r,KL,h,KS_mean,p_cat,m_res2_ss,dfit2
0,_1,circular,0.2,0.01,0.1,500,5,30,0.0005,0.01903057098388672,8.135994048613648e-08
1,_1,circular,0.2,0.02,0.1,500,5,30,0.0005,0.011594295501708984,-6.565191099094921e-08
2,_1,circular,0.2,0.03,0.1,500,5,30,0.0005,0.00855785608291626,-7.133031144912483e-08
3,_1,circular,0.2,0.04,0.1,500,5,30,0.0005,0.006890296936035156,-3.416884830631537e-08
4,_1,circular,0.2,0.05,0.1,500,5,30,0.0005,0.005838960409164429,7.111406732582258e-08
5,_1,circular,0.2,0.06,0.1,500,5,30,0.0005,0.00511595606803894,-4.869623584577452e-08
6,_1,circular,0.2,0.07,0.1,500,5,30,0.0005,0.004587143659591675,1.8231293211213784e-08
7,_1,circular,0.2,0.08,0.1,500,5,30,0.0005,0.004182269302238585,-1.692222750816183e-09
8,_1,circular,0.2,0.09,0.1,500,5,30,0.0005,0.0038612038876431505,-6.659771475611375e-08
9,_1,circular,0.2,0.1,0.1,500,5,30,0.0005,0.0035994671849652006,1.3424862350259646e-08
10,_1,circular,0.2,0.12,0.1,500,5,30,0.0005,0.003196257353986518,2.619264397388213e-08
11,_1,circular,0.2,0.14,0.1,500,5,30,0.0005,0.0028978301589614253,8.428319348865065e-08
12,_1,circular,0.2,0.16,0.1,500,5,30,0.0005,0.0026663102551253513,6.936416501943442e-08
13,_1,circular,0.2,0.18,0.1,500,5,30,0.0005,0.0024803897440446644,-4.591420017623233e-08
14,_1,circular,0.2,0.2,0.1,500,5,30,0.0005,0.0023271105614635335,2.7894326388626088e-08
15,_1,circular,0.2,0.22,0.1,500,5,30,0.0005,0.002198118379745706,-9.790513668880618e-08
16,_1,circular,0.2,0.24,0.1,500,5,30,0.0005,0.002087746438535598,9.964926561863111e-08
17,_1,circular,0.2,0.26,0.1,500,5,30,0.0005,0.0019920251745833813,2.5217729380310766e-08
18,_1,circular,0.2,0.28,0.1,500,5,30,0.0005,0.0019080627320192715,-3.2234089529518016e-08
36,_1,circular,0.2,0.01,0.2,500,5,30,0.0005,0.023160934448242188,-7.810104559607955e-09
37,_1,circular,0.2,0.01,0.5,500,5,30,0.0005,0.02853870391845703,-2.0895313474281196e-08
38,_1,circular,0.2,0.01,1.0,500,5,30,0.0005,0.032088279724121094,-6.639795050583652e-08
39,_1,circular,0.2,0.01,2.0,500,5,30,0.0005,0.03492927551269531,-3.436140261214858e-08
40,_1,circular,0.2,0.01,1.5,500,5,30,0.0005,0.03383922576904297,-1.5593348010392583e-08
22,_1,circular,0.2,0.01,0.1,500,5,30,0.0006,0.021633625030517578,5.0835342150327247e-08
23,_1,circular,0.2,0.01,0.1,500,5,30,0.0007,0.024082183837890625,8.445988182716162e-08
24,_1,circular,0.2,0.01,0.1,500,5,30,0.0008,0.026328086853027344,1.9484414082171487e-08
25,_1,circular,0.2,0.01,0.1,500,5,30,0.0009,0.028520584106445312,-7.077202937802675e-08
26,_1,circular,0.2,0.01,0.1,500,5,30,0.001,0.030576705932617188,-9.111895266089565e-08
104,_1,circular,0.2,0.01,0.1,500,5,30,0.0011,0.03266334533691406,2.570505579416351e-08
105,_1,circular,0.2,0.01,0.1,500,5,30,0.0012,0.034572601318359375,-9.264468375858281e-08
106,_1,circular,0.2,0.01,0.1,500,5,30,0.0013,0.03646039962768555,2.331672436827649e-08
107,_1,circular,0.2,0.01,0.1,500,5,30,0.0014,0.03826618194580078,3.477082178520413e-08
108,_1,circular,0.2,0.01,0.1,500,5,30,0.0015,0.03991508483886719,8.833785833154711e-08
109,_1,circular,0.2,0.01,0.1,500,5,30,0.0016,0.041534423828125,4.895112093452558e-08
110,_1,circular,0.2,0.01,0.1,500,5,30,0.0017,0.04332447052001953,-2.0542387828768085e-08
111,_1,circular,0.2,0.01,0.1,500,5,30,0.0018,0.044795989990234375,5.140563900477917e-08
112,_1,circular,0.2,0.01,0.1,500,5,30,0.0019,0.04639720916748047,7.214467118948112e-08
113,_1,circular,0.2,0.01,0.1,500,5,30,0.002,0.04784393310546875,3.6295619287879695e-08
72,_1,circular,0.2,0.01,0.15,500,5,30,0.0005,0.02142810821533203,-1.7917741942929943e-08
73,_1,circular,0.2,0.01,0.25,500,5,30,0.0005,0.024505615234375,-9.929757753893136e-08
74,_1,circular,0.2,0.01,0.3,500,5,30,0.0005,0.02559375762939453,7.796844767038456e-08
75,_1,circular,0.2,0.01,0.35,500,5,30,0.0005,0.026502609252929688,-4.308077332371153e-10
76,_1,circular,0.2,0.01,0.4,500,5,30,0.0005,0.027276992797851562,5.43766691830233e-08
77,_1,circular,0.2,0.01,0.45,500,5,30,0.0005,0.027948856353759766,4.539906861902866e-09
78,_1,circular,0.2,0.01,0.55,500,5,30,0.0005,0.029062271118164062,6.074364644094443e-08
79,_1,circular,0.2,0.01,0.6,500,5,30,0.0005,0.029531478881835938,8.635605251716692e-08
80,_1,circular,0.2,0.01,0.65,500,5,30,0.0005,0.02995586395263672,-4.3597883549878473e-08
81,_1,circular,0.2,0.01,0.7,500,5,30,0.0005,0.03034067153930664,-1.0395791215714323e-08
82,_1,circular,0.2,0.01,0.75,500,5,30,0.0005,0.03069305419921875,-4.0483567019522486e-08
83,_1,circular,0.2,0.01,0.8,500,5,30,0.0005,0.03101634979248047,-5.613600404831553e-08
84,_1,circular,0.2,0.01,0.85,500,5,30,0.0005,0.031314849853515625,-2.8155185431352755e-08
85,_1,circular,0.2,0.01,0.9,500,5,30,0.0005,0.03159141540527344,-4.0182673811603447e-08
86,_1,circular,0.2,0.01,0.95,500,5,30,0.0005,0.03184795379638672,2.1496828839576154e-08
87,_1,circular,0.2,0.01,1.1,500,5,30,0.0005,0.03252220153808594,9.41433210685169e-08
88,_1,circular,0.2,0.01,1.2,500,5,30,0.0005,0.03290748596191406,-4.56381351980617e-09
89,_1,circular,0.2,0.01,1.3,500,5,30,0.0005,0.03325080871582031,-5.255045259621587e-08
90,_1,circular,0.2,0.01,1.4,500,5,30,0.0005,0.03355884552001953,6.33440782465966e-08
91,_1,circular,0.2,0.01,1.6,500,5,30,0.0005,0.03409385681152344,9.535785789466232e-08
92,_1,circular,0.2,0.01,1.7,500,5,30,0.0005,0.03432655334472656,9.026924986579171e-08
93,_1,circular,0.2,0.01,1.8,500,5,30,0.0005,0.03453826904296875,4.558504994919138e-08
94,_1,circular,0.2,0.01,1.9,500,5,30,0.0005,0.034735679626464844,-4.398589240235673e-08
95,_1,circular,0.2,0.21,0.1,500,5,30,0.0005,0.0022599797703598077,2.4178304757618383e-08
96,_1,circular,0.2,0.23,0.1,500,5,30,0.0005,0.0021408839958035756,-3.3860582523619695e-08
97,_1,circular,0.2,0.25,0.1,500,5,30,0.0005,0.0020382563349143003,3.314411462301957e-08
98,_1,circular,0.2,0.27,0.1,500,5,30,0.0005,0.0019487223381533462,4.6943351983411e-08
99,_1,circular,0.2,0.29,0.1,500,5,30,0.0005,0.0018697949828623977,6.120315842699214e-08
100,_1,circular,0.2,0.265,0.1,500,5,30,0.0005,0.001970026817688728,-3.4001095125170884e-08
101,_1,circular,0.2,0.275,0.1,500,5,30,0.0005,0.0019280775428171127,8.201948777269757e-08
102,_1,circular,0.2,0.285,0.1,500,5,30,0.0005,0.001888644323496167,-6.468653737656466e-08
103,_1,circular,0.2,0.295,0.1,500,5,30,0.0005,0.0018514911838594023,4.910446506876336e-08
