ID,suffix,layout,f,c,r,KL,h,KS_mean,p_cat,y_intercept,m_ss,ddfit_ss
0,_1,circular,0.2,0.01,0.1,500,5,30,0.0005,1,0.000856266407506,217.436138868248
1,_1,circular,0.2,0.02,0.1,500,5,30,0.0005,1,0.000807800848906,239.177841071677
2,_1,circular,0.2,0.03,0.1,500,5,30,0.0005,1,0.000762666203316,262.896947349501
3,_1,circular,0.2,0.04,0.1,500,5,30,0.0005,1,0.000720404636501,288.824070906749
4,_1,circular,0.2,0.05,0.1,500,5,30,0.0005,1,0.000680637890109,317.199098543439
5,_1,circular,0.2,0.06,0.1,500,5,30,0.0005,1,0.000643050584211,348.332484988418
6,_1,circular,0.2,0.07,0.1,500,5,30,0.0005,1,0.000607375350365,382.475683814448
7,_1,circular,0.2,0.08,0.1,500,5,30,0.0005,0.905846055432817,0.000573386070925,420.413686549281
8,_1,circular,0.2,0.09,0.1,500,5,30,0.0005,0.807253183335718,0.000540886698572,462.232098171585
9,_1,circular,0.2,0.1,0.1,500,5,30,0.0005,0.728388340620426,0.000509709179726,508.674185098881
10,_1,circular,0.2,0.12,0.1,500,5,30,0.0005,0.610114956481258,0.000450745908601,618.23405931806
11,_1,circular,0.2,0.14,0.1,500,5,30,0.0005,0.525661611158284,0.0003955115715,756.854021752264
12,_1,circular,0.2,0.16,0.1,500,5,30,0.0005,0.462346166628371,0.000343220349173,936.119708988304
13,_1,circular,0.2,0.18,0.1,500,5,30,0.0005,0.413122997904277,0.000293226047697,1175.46901224042
14,_1,circular,0.2,0.2,0.1,500,5,30,0.0005,0.373764736727752,0.000244974162703,1508.51946818051
15,_1,circular,0.2,0.22,0.1,500,5,30,0.0005,0.341581245981871,0.000197958486637,2000.74459130557
16,_1,circular,0.2,0.24,0.1,500,5,30,0.0005,0.314779106908136,0.000151666828013,2798.45492991162
17,_1,circular,0.2,0.26,0.1,500,5,30,0.0005,0.29211672761572,0.000105457045262,4314.91970653281
18,_1,circular,0.2,0.28,0.1,500,5,30,0.0005,0.27270726223779,5.80190031595008E-05,8427.48837194532
19,_1,circular,0.2,0.3,0.1,500,5,30,0.0005,0.25590036243288,5.94095461475135E-09,622655628.697855
20,_1,circular,0.2,0.4,0.1,500,5,30,0.0005,0.197247327603468,2.66612638397218E-09,623675982.220137
21,_1,circular,0.2,0.5,0.1,500,5,30,0.0005,0.162298190512654,1.96505705921751E-09,623893428.702661
22,_1,circular,0.2,0.01,0.1,500,5,30,0.0006,1,0.001008306936366,186.563456366971
23,_1,circular,0.2,0.01,0.1,500,5,30,0.0007,1,0.001155973479474,164.376202301164
24,_1,circular,0.2,0.01,0.1,500,5,30,0.0008,1,0.001294754097485,148.137896426643
25,_1,circular,0.2,0.01,0.1,500,5,30,0.0009,1,0.001432818573252,135.176993638684
26,_1,circular,0.2,0.01,0.1,500,5,30,0.001,1,0.001564260514152,124.973847026239
27,_1,circular,0.21,0.01,0.1,500,5,30,0.0005,1,0.00065213171537,358.407119794206
28,_1,circular,0.22,0.01,0.1,500,5,30,0.0005,1,0.000483744518128,593.773178915181
29,_1,circular,0.23,0.01,0.1,500,5,30,0.0005,1,0.000342499965282,1012.43718843413
30,_1,circular,0.24,0.01,0.1,500,5,30,0.0005,1,0.000222153680821,1856.35394357386
31,_1,circular,0.25,0.01,0.1,500,5,30,0.0005,1,0.000117549463685,4125.19162338004
32,_1,circular,0.26,0.01,0.1,500,5,30,0.0005,1,1.71286723398979E-05,33528.7788503276
33,_1,circular,0.28,0.01,0.1,500,5,30,0.0005,1,2.46637262811307E-09,623747765.74787
34,_1,circular,0.3,0.01,0.1,500,5,30,0.0005,1,1.81475862508374E-09,623952158.614782
35,_1,circular,0.35,0.01,0.1,500,5,30,0.0005,1,1.18649051772039E-09,624150952.533385
36,_1,circular,0.2,0.01,0.2,500,5,30,0.0005,1,0.000905881534679,200.041246824191
37,_1,circular,0.2,0.01,0.5,500,5,30,0.0005,1,0.000944615997161,188.250407228831
38,_1,circular,0.2,0.01,1,500,5,30,0.0005,1,0.000960824621288,183.762588898157
39,_1,circular,0.2,0.01,2,500,5,30,0.0005,1,0.000974920204677,180.423752327296
40,_1,circular,0.2,0.01,1.5,500,5,30,0.0005,1,0.0009669656315729111,182.1047192367504
41,_1,circular,0.05,0.01,0.1,500,5,30,0.0005,1,0.005085935745720057,1.2788107183986073
42,_1,circular,0.1,0.01,0.1,500,5,30,0.0005,1,0.018788135861897436,-0.08291348356175407
43,_1,circular,0.01,0.01,0.1,500,5,30,0.0005,1,0.0022667931009701346,-63.83405876132342
44,_1,circular,0.07,0.01,0.1,500,5,30,0.0005,1,0.009422206236951718,0.5766103502084252
45,_1,circular,0.12,0.01,0.1,500,5,30,0.0005,1,0.010038928685307343,0.5225507191577509
46,_1,circular,0.06,0.01,0.1,500,5,30,0.0005,1,0.006749164503891762,1.2472652403971953
47,_1,circular,0.08,0.01,0.1,500,5,30,0.0005,1,0.01344324936311915,0.1014206138198671
48,_1,circular,0.09,0.01,0.1,500,5,30,0.0005,1,0.017829441853695713,-0.08025008285034893
49,_1,circular,0.11,0.01,0.1,500,5,30,0.0005,1,0.014878352837202732,0.01451308103386626
50,_1,circular,0.14,0.01,0.1,500,5,30,0.0005,1,0.004516360627954166,5.310167672440237
51,_1,circular,0.16,0.01,0.1,500,5,30,0.0005,1,0.0024193648957760213,23.264026399903766
52,_1,circular,0.005,0.01,0.1,500,5,30,0.0005,1,0.0020774701751721004,-104.996906580342
53,_1,circular,0.02,0.01,0.1,500,5,30,0.0005,1,0.002705986645631185,-23.85108009947513
54,_1,circular,0.04,0.01,0.1,500,5,30,0.0005,1,0.004010184330271706,-0.8249317406074623
55,_1,circular,0.095,0.01,0.1,500,5,30,0.0005,1,0.018998935161948532,-0.1058984163054842
56,_1,circular,0.105,0.01,0.1,500,5,30,0.0005,1,0.017235403279291628,-0.059449774867833295
57,_1,circular,0.015,0.01,0.1,500,5,30,0.0005,1,0.0024748208628525953,-39.273861976357
58,_1,circular,0.025,0.01,0.1,500,5,30,0.0005,1,0.0029660518422789653,-13.926253976806075
59,_1,circular,0.03,0.01,0.1,500,5,30,0.0005,1,0.0032626399683445655,-7.4730446387454945
60,_1,circular,0.035,0.01,0.1,500,5,30,0.0005,1,0.0036060118907717043,-3.368322425779659
61,_1,circular,0.045,0.01,0.1,500,5,30,0.0005,1,0.00449453626358069,0.6142042808455235
62,_1,circular,0.055,0.01,0.1,500,5,30,0.0005,1,0.005821234041229492,1.4219712330372485
63,_1,circular,0.065,0.01,0.1,500,5,30,0.0005,1,0.007929091585910462,0.8945713709057246
64,_1,circular,0.075,0.01,0.1,500,5,30,0.0005,1,0.011269011634997904,0.2587944325283129
65,_1,circular,0.085,0.01,0.1,500,5,30,0.0005,1,0.015769816363378462,-0.03914720435624922
66,_1,circular,0.115,0.01,0.1,500,5,30,0.0005,1,0.012343751451976137,0.1910446471906959
67,_1,circular,0.125,0.01,0.1,500,5,30,0.0005,1,0.008123158690278465,1.0640320443896736
68,_1,circular,0.13,0.01,0.1,500,5,30,0.0005,1,0.00660476102428447,2.004068878036156
69,_1,circular,0.135,0.01,0.1,500,5,30,0.0005,1,0.005426932990429298,3.3549907367888685
70,_1,circular,0.145,0.01,0.1,500,5,30,0.0005,1,0.0038062901139070664,7.986225151268321
71,_1,circular,0.15,0.01,0.1,500,5,30,0.0005,1,0.003244062120577343,11.647507362151227
72,_1,circular,0.2,0.01,0.15,500,5,30,0.0005,1,0.000887875053191687,206.01532244037486
73,_1,circular,0.2,0.01,0.25,500,5,30,0.0005,1,0.0009176837477507918,196.2962559489239
74,_1,circular,0.2,0.01,0.3,500,5,30,0.0005,1,0.0009260834974870703,193.73157519999785
75,_1,circular,0.2,0.01,0.35,500,5,30,0.0005,1,0.0009324031240811512,191.77462592349937
76,_1,circular,0.2,0.01,0.4,500,5,30,0.0005,1,0.0009373454302268963,190.37379833293122
77,_1,circular,0.2,0.01,0.45,500,5,30,0.0005,1,0.0009413301105800414,189.2092912075359
78,_1,circular,0.2,0.01,0.55,500,5,30,0.0005,1,0.0009473759690801716,187.49453331626566
79,_1,circular,0.2,0.01,0.6,500,5,30,0.0005,1,0.0009497326935546034,186.85429081306532
80,_1,circular,0.2,0.01,0.65,500,5,30,0.0005,1,0.0009517674935257246,186.20571314737202
81,_1,circular,0.2,0.01,0.7,500,5,30,0.0005,1,0.000953545481163028,185.78752922260708
82,_1,circular,0.2,0.01,0.75,500,5,30,0.0005,1,0.0009551139675664662,185.3525539136294
83,_1,circular,0.2,0.01,0.8,500,5,30,0.0005,1,0.0009565071474139367,184.94267273540294
84,_1,circular,0.2,0.01,0.85,500,5,30,0.0005,1,0.0009577551793187644,184.57867268918736
85,_1,circular,0.2,0.01,0.9,500,5,30,0.0005,1,0.000958878425594674,184.2905673396925
86,_1,circular,0.2,0.01,0.95,500,5,30,0.0005,1,0.0009598977058345813,183.98853836435387
87,_1,circular,0.2,0.01,1.1,500,5,30,0.0005,1,0.0009624512423331507,183.31849210185248
88,_1,circular,0.2,0.01,1.2,500,5,30,0.0005,1,0.0009638328548187532,182.97450983070001
89,_1,circular,0.2,0.01,1.3,500,5,30,0.0005,1,0.0009650221053782909,182.600531048578
90,_1,circular,0.2,0.01,1.4,500,5,30,0.0005,1,0.0009660563845352508,182.34889496308566
91,_1,circular,0.2,0.01,1.6,500,5,30,0.0005,1,0.0009677700265322093,181.8446562699125
92,_1,circular,0.2,0.01,1.7,500,5,30,0.0005,1,0.0009684902659173512,181.72173533438172
93,_1,circular,0.2,0.01,1.8,500,5,30,0.0005,1,0.0009691357404704974,181.53049284456878
94,_1,circular,0.2,0.01,1.9,500,5,30,0.0005,1,0.0009697227916485399,181.37924956038188
95,_1,circular,0.2,0.21,0.1,500,5,30,0.0005,0.3569042465538542,0.00022134274868456088,1728.4855980740986
96,_1,circular,0.2,0.23,0.1,500,5,30,0.0005,0.3275952288060277,0.00017475680539187426,2346.0757341678095
97,_1,circular,0.2,0.25,0.1,500,5,30,0.0005,0.30299252664632226,0.00012860411631556869,3416.844554037857
98,_1,circular,0.2,0.27,0.1,500,5,30,0.0005,0.28205054390715445,8.201218425713811e-05,5748.796802784944
99,_1,circular,0.2,0.29,0.1,500,5,30,0.0005,0.26401213012693553,3.234185523000853e-05,15731.959950628016
100,_1,circular,0.2,0.265,0.1,500,5,30,0.0005,0.2869881602034994,9.375534853183192e-05,4940.1984348693795
101,_1,circular,0.2,0.275,0.1,500,5,30,0.0005,0.27729346719422016,7.01267005206248e-05,6845.2989536238465
102,_1,circular,0.2,0.285,0.1,500,5,30,0.0005,0.2682829396764518,4.55579054781995e-05,10939.195119961243
103,_1,circular,0.2,0.295,0.1,500,5,30,0.0005,0.25988703164376264,1.6726117023544282e-05,31295.178224940006
104,_1,circular,0.2,0.01,0.1,500,5,30,0.0011,1,0.0016992258203399036,116.17399726569325
105,_1,circular,0.2,0.01,0.1,500,5,30,0.0012,1,0.0018237089584339575,109.23200330568298
106,_1,circular,0.2,0.01,0.1,500,5,30,0.0013,1,0.0019475614888163602,103.23205276265209
107,_1,circular,0.2,0.01,0.1,500,5,30,0.0014,1,0.0020664460857432324,98.18067170590089
108,_1,circular,0.2,0.01,0.1,500,5,30,0.0015,1,0.0021751531948662277,94.04530660389545
109,_1,circular,0.2,0.01,0.1,500,5,30,0.0016,1,0.0022818704329319373,90.44254511980725
110,_1,circular,0.2,0.01,0.1,500,5,30,0.0017,1,0.00239954743224128,86.83776483973809
111,_1,circular,0.2,0.01,0.1,500,5,30,0.0018,1,0.0024959842863953433,84.16185041174667
112,_1,circular,0.2,0.01,0.1,500,5,30,0.0019,1,0.0026003088380170836,81.5082773101122
113,_1,circular,0.2,0.01,0.1,500,5,30,0.002,1,0.0026939043905806876,79.30785889120844
